threshold,precision,recall,f1,alerts_pred,events_true,tp,fp,fn,tn,target,high_q,class_weight
0.05,0.09743589743589744,0.8260869565217391,0.1743119266055046,195,23,19,176,4,82,target_parkvol_next7d,0.85,None
0.1,0.11724137931034483,0.7391304347826086,0.20238095238095238,145,23,17,128,6,130,target_parkvol_next7d,0.85,None
0.15,0.14285714285714285,0.7391304347826086,0.23943661971830985,119,23,17,102,6,156,target_parkvol_next7d,0.85,None
0.2,0.1511627906976744,0.5652173913043478,0.23853211009174313,86,23,13,73,10,185,target_parkvol_next7d,0.85,None
0.25,0.18461538461538463,0.5217391304347826,0.2727272727272727,65,23,12,53,11,205,target_parkvol_next7d,0.85,None
0.3,0.22,0.4782608695652174,0.3013698630136986,50,23,11,39,12,219,target_parkvol_next7d,0.85,None
0.35,0.2564102564102564,0.43478260869565216,0.3225806451612903,39,23,10,29,13,229,target_parkvol_next7d,0.85,None
0.4,0.29411764705882354,0.43478260869565216,0.3508771929824561,34,23,10,24,13,234,target_parkvol_next7d,0.85,None
0.45,0.3333333333333333,0.43478260869565216,0.37735849056603776,30,23,10,20,13,238,target_parkvol_next7d,0.85,None
0.5,0.35714285714285715,0.43478260869565216,0.39215686274509803,28,23,10,18,13,240,target_parkvol_next7d,0.85,None
0.55,0.38095238095238093,0.34782608695652173,0.36363636363636365,21,23,8,13,15,245,target_parkvol_next7d,0.85,None
0.6,0.3888888888888889,0.30434782608695654,0.34146341463414637,18,23,7,11,16,247,target_parkvol_next7d,0.85,None
0.65,0.4666666666666667,0.30434782608695654,0.3684210526315789,15,23,7,8,16,250,target_parkvol_next7d,0.85,None
0.7,0.42857142857142855,0.2608695652173913,0.32432432432432434,14,23,6,8,17,250,target_parkvol_next7d,0.85,None
0.75,0.5,0.21739130434782608,0.30303030303030304,10,23,5,5,18,253,target_parkvol_next7d,0.85,None
0.8,0.5,0.17391304347826086,0.25806451612903225,8,23,4,4,19,254,target_parkvol_next7d,0.85,None
0.85,0.2,0.043478260869565216,0.07142857142857142,5,23,1,4,22,254,target_parkvol_next7d,0.85,None
0.9,0.0,0.0,0.0,2,23,0,2,23,256,target_parkvol_next7d,0.85,None
0.95,0.0,0.0,0.0,1,23,0,1,23,257,target_parkvol_next7d,0.85,None
0.05,0.09565217391304348,0.9565217391304348,0.17391304347826086,230,23,22,208,1,50,target_parkvol_next7d,0.85,balanced
0.1,0.1024390243902439,0.9130434782608695,0.18421052631578946,205,23,21,184,2,74,target_parkvol_next7d,0.85,balanced
0.15,0.10582010582010581,0.8695652173913043,0.18867924528301888,189,23,20,169,3,89,target_parkvol_next7d,0.85,balanced
0.2,0.10588235294117647,0.782608695652174,0.18652849740932642,170,23,18,152,5,106,target_parkvol_next7d,0.85,balanced
0.25,0.11842105263157894,0.782608695652174,0.2057142857142857,152,23,18,134,5,124,target_parkvol_next7d,0.85,balanced
0.3,0.11888111888111888,0.7391304347826086,0.20481927710843373,143,23,17,126,6,132,target_parkvol_next7d,0.85,balanced
0.35,0.12781954887218044,0.7391304347826086,0.21794871794871795,133,23,17,116,6,142,target_parkvol_next7d,0.85,balanced
0.4,0.13709677419354838,0.7391304347826086,0.23129251700680273,124,23,17,107,6,151,target_parkvol_next7d,0.85,balanced
0.45,0.1452991452991453,0.7391304347826086,0.24285714285714285,117,23,17,100,6,158,target_parkvol_next7d,0.85,balanced
0.5,0.15384615384615385,0.6956521739130435,0.25196850393700787,104,23,16,88,7,170,target_parkvol_next7d,0.85,balanced
0.55,0.16304347826086957,0.6521739130434783,0.2608695652173913,92,23,15,77,8,181,target_parkvol_next7d,0.85,balanced
0.6,0.16883116883116883,0.5652173913043478,0.26,77,23,13,64,10,194,target_parkvol_next7d,0.85,balanced
0.65,0.203125,0.5652173913043478,0.2988505747126437,64,23,13,51,10,207,target_parkvol_next7d,0.85,balanced
0.7,0.2037037037037037,0.4782608695652174,0.2857142857142857,54,23,11,43,12,215,target_parkvol_next7d,0.85,balanced
0.75,0.23404255319148937,0.4782608695652174,0.3142857142857143,47,23,11,36,12,222,target_parkvol_next7d,0.85,balanced
0.8,0.29411764705882354,0.43478260869565216,0.3508771929824561,34,23,10,24,13,234,target_parkvol_next7d,0.85,balanced
0.85,0.35714285714285715,0.43478260869565216,0.39215686274509803,28,23,10,18,13,240,target_parkvol_next7d,0.85,balanced
0.9,0.3333333333333333,0.34782608695652173,0.3404255319148936,24,23,8,16,15,242,target_parkvol_next7d,0.85,balanced
0.95,0.4,0.17391304347826086,0.24242424242424243,10,23,4,6,19,252,target_parkvol_next7d,0.85,balanced
0.05,0.01910828025477707,0.42857142857142855,0.036585365853658534,157,7,3,154,4,120,target_parkvol_next7d,0.9,None
0.1,0.03333333333333333,0.42857142857142855,0.061855670103092786,90,7,3,87,4,187,target_parkvol_next7d,0.9,None
0.15,0.05263157894736842,0.42857142857142855,0.09375,57,7,3,54,4,220,target_parkvol_next7d,0.9,None
0.2,0.0,0.0,0.0,39,7,0,39,7,235,target_parkvol_next7d,0.9,None
0.25,0.0,0.0,0.0,26,7,0,26,7,248,target_parkvol_next7d,0.9,None
0.3,0.0,0.0,0.0,19,7,0,19,7,255,target_parkvol_next7d,0.9,None
0.35,0.0,0.0,0.0,17,7,0,17,7,257,target_parkvol_next7d,0.9,None
0.4,0.0,0.0,0.0,10,7,0,10,7,264,target_parkvol_next7d,0.9,None
0.45,0.0,0.0,0.0,6,7,0,6,7,268,target_parkvol_next7d,0.9,None
0.5,0.0,0.0,0.0,5,7,0,5,7,269,target_parkvol_next7d,0.9,None
0.55,0.0,0.0,0.0,3,7,0,3,7,271,target_parkvol_next7d,0.9,None
0.6,0.0,0.0,0.0,3,7,0,3,7,271,target_parkvol_next7d,0.9,None
0.65,0.0,0.0,0.0,2,7,0,2,7,272,target_parkvol_next7d,0.9,None
0.7,0.0,0.0,0.0,2,7,0,2,7,272,target_parkvol_next7d,0.9,None
0.75,0.0,0.0,0.0,1,7,0,1,7,273,target_parkvol_next7d,0.9,None
0.8,0.0,0.0,0.0,1,7,0,1,7,273,target_parkvol_next7d,0.9,None
0.85,0.0,0.0,0.0,0,7,0,0,7,274,target_parkvol_next7d,0.9,None
0.9,0.0,0.0,0.0,0,7,0,0,7,274,target_parkvol_next7d,0.9,None
0.95,0.0,0.0,0.0,0,7,0,0,7,274,target_parkvol_next7d,0.9,None
0.05,0.02336448598130841,0.7142857142857143,0.04524886877828054,214,7,5,209,2,65,target_parkvol_next7d,0.9,balanced
0.1,0.02030456852791878,0.5714285714285714,0.0392156862745098,197,7,4,193,3,81,target_parkvol_next7d,0.9,balanced
0.15,0.022727272727272728,0.5714285714285714,0.04371584699453552,176,7,4,172,3,102,target_parkvol_next7d,0.9,balanced
0.2,0.025157232704402517,0.5714285714285714,0.04819277108433735,159,7,4,155,3,119,target_parkvol_next7d,0.9,balanced
0.25,0.020689655172413793,0.42857142857142855,0.039473684210526314,145,7,3,142,4,132,target_parkvol_next7d,0.9,balanced
0.3,0.022900763358778626,0.42857142857142855,0.043478260869565216,131,7,3,128,4,146,target_parkvol_next7d,0.9,balanced
0.35,0.025423728813559324,0.42857142857142855,0.048,118,7,3,115,4,159,target_parkvol_next7d,0.9,balanced
0.4,0.028846153846153848,0.42857142857142855,0.05405405405405406,104,7,3,101,4,173,target_parkvol_next7d,0.9,balanced
0.45,0.03333333333333333,0.42857142857142855,0.061855670103092786,90,7,3,87,4,187,target_parkvol_next7d,0.9,balanced
0.5,0.039473684210526314,0.42857142857142855,0.07228915662650602,76,7,3,73,4,201,target_parkvol_next7d,0.9,balanced
0.55,0.03333333333333333,0.2857142857142857,0.05970149253731343,60,7,2,58,5,216,target_parkvol_next7d,0.9,balanced
0.6,0.0392156862745098,0.2857142857142857,0.06896551724137931,51,7,2,49,5,225,target_parkvol_next7d,0.9,balanced
0.65,0.025,0.14285714285714285,0.0425531914893617,40,7,1,39,6,235,target_parkvol_next7d,0.9,balanced
0.7,0.03125,0.14285714285714285,0.05128205128205128,32,7,1,31,6,243,target_parkvol_next7d,0.9,balanced
0.75,0.045454545454545456,0.14285714285714285,0.06896551724137931,22,7,1,21,6,253,target_parkvol_next7d,0.9,balanced
0.8,0.0,0.0,0.0,15,7,0,15,7,259,target_parkvol_next7d,0.9,balanced
0.85,0.0,0.0,0.0,8,7,0,8,7,266,target_parkvol_next7d,0.9,balanced
0.9,0.0,0.0,0.0,4,7,0,4,7,270,target_parkvol_next7d,0.9,balanced
0.95,0.0,0.0,0.0,3,7,0,3,7,271,target_parkvol_next7d,0.9,balanced
0.05,0.0,0.0,0.0,94,0,0,94,0,187,target_parkvol_next7d,0.95,None
0.1,0.0,0.0,0.0,45,0,0,45,0,236,target_parkvol_next7d,0.95,None
0.15,0.0,0.0,0.0,32,0,0,32,0,249,target_parkvol_next7d,0.95,None
0.2,0.0,0.0,0.0,21,0,0,21,0,260,target_parkvol_next7d,0.95,None
0.25,0.0,0.0,0.0,12,0,0,12,0,269,target_parkvol_next7d,0.95,None
0.3,0.0,0.0,0.0,6,0,0,6,0,275,target_parkvol_next7d,0.95,None
0.35,0.0,0.0,0.0,6,0,0,6,0,275,target_parkvol_next7d,0.95,None
0.4,0.0,0.0,0.0,3,0,0,3,0,278,target_parkvol_next7d,0.95,None
0.45,0.0,0.0,0.0,2,0,0,2,0,279,target_parkvol_next7d,0.95,None
0.5,0.0,0.0,0.0,1,0,0,1,0,280,target_parkvol_next7d,0.95,None
0.55,0.0,0.0,0.0,1,0,0,1,0,280,target_parkvol_next7d,0.95,None
0.6,0.0,0.0,0.0,1,0,0,1,0,280,target_parkvol_next7d,0.95,None
0.65,0.0,0.0,0.0,1,0,0,1,0,280,target_parkvol_next7d,0.95,None
0.7,0.0,0.0,0.0,1,0,0,1,0,280,target_parkvol_next7d,0.95,None
0.75,0.0,0.0,0.0,1,0,0,1,0,280,target_parkvol_next7d,0.95,None
0.8,0.0,0.0,0.0,1,0,0,1,0,280,target_parkvol_next7d,0.95,None
0.85,0.0,0.0,0.0,0,0,0,0,0,281,target_parkvol_next7d,0.95,None
0.9,0.0,0.0,0.0,0,0,0,0,0,281,target_parkvol_next7d,0.95,None
0.95,0.0,0.0,0.0,0,0,0,0,0,281,target_parkvol_next7d,0.95,None
0.05,0.0,0.0,0.0,204,0,0,204,0,77,target_parkvol_next7d,0.95,balanced
0.1,0.0,0.0,0.0,169,0,0,169,0,112,target_parkvol_next7d,0.95,balanced
0.15,0.0,0.0,0.0,144,0,0,144,0,137,target_parkvol_next7d,0.95,balanced
0.2,0.0,0.0,0.0,125,0,0,125,0,156,target_parkvol_next7d,0.95,balanced
0.25,0.0,0.0,0.0,109,0,0,109,0,172,target_parkvol_next7d,0.95,balanced
0.3,0.0,0.0,0.0,102,0,0,102,0,179,target_parkvol_next7d,0.95,balanced
0.35,0.0,0.0,0.0,85,0,0,85,0,196,target_parkvol_next7d,0.95,balanced
0.4,0.0,0.0,0.0,76,0,0,76,0,205,target_parkvol_next7d,0.95,balanced
0.45,0.0,0.0,0.0,63,0,0,63,0,218,target_parkvol_next7d,0.95,balanced
0.5,0.0,0.0,0.0,54,0,0,54,0,227,target_parkvol_next7d,0.95,balanced
0.55,0.0,0.0,0.0,44,0,0,44,0,237,target_parkvol_next7d,0.95,balanced
0.6,0.0,0.0,0.0,42,0,0,42,0,239,target_parkvol_next7d,0.95,balanced
0.65,0.0,0.0,0.0,37,0,0,37,0,244,target_parkvol_next7d,0.95,balanced
0.7,0.0,0.0,0.0,31,0,0,31,0,250,target_parkvol_next7d,0.95,balanced
0.75,0.0,0.0,0.0,25,0,0,25,0,256,target_parkvol_next7d,0.95,balanced
0.8,0.0,0.0,0.0,19,0,0,19,0,262,target_parkvol_next7d,0.95,balanced
0.85,0.0,0.0,0.0,14,0,0,14,0,267,target_parkvol_next7d,0.95,balanced
0.9,0.0,0.0,0.0,9,0,0,9,0,272,target_parkvol_next7d,0.95,balanced
0.95,0.0,0.0,0.0,4,0,0,4,0,277,target_parkvol_next7d,0.95,balanced
0.05,0.10227272727272728,0.8181818181818182,0.18181818181818182,176,22,18,158,4,101,target_absret_next7d,0.85,None
0.1,0.125,0.7272727272727273,0.21333333333333335,128,22,16,112,6,147,target_absret_next7d,0.85,None
0.15,0.14583333333333334,0.6363636363636364,0.23728813559322035,96,22,14,82,8,177,target_absret_next7d,0.85,None
0.2,0.1625,0.5909090909090909,0.2549019607843137,80,22,13,67,9,192,target_absret_next7d,0.85,None
0.25,0.12698412698412698,0.36363636363636365,0.18823529411764706,63,22,8,55,14,204,target_absret_next7d,0.85,None
0.3,0.1568627450980392,0.36363636363636365,0.2191780821917808,51,22,8,43,14,216,target_absret_next7d,0.85,None
0.35,0.1590909090909091,0.3181818181818182,0.21212121212121213,44,22,7,37,15,222,target_absret_next7d,0.85,None
0.4,0.18421052631578946,0.3181818181818182,0.23333333333333334,38,22,7,31,15,228,target_absret_next7d,0.85,None
0.45,0.18181818181818182,0.2727272727272727,0.21818181818181817,33,22,6,27,16,232,target_absret_next7d,0.85,None
0.5,0.17857142857142858,0.22727272727272727,0.2,28,22,5,23,17,236,target_absret_next7d,0.85,None
0.55,0.20833333333333334,0.22727272727272727,0.21739130434782608,24,22,5,19,17,240,target_absret_next7d,0.85,None
0.6,0.2,0.18181818181818182,0.19047619047619047,20,22,4,16,18,243,target_absret_next7d,0.85,None
