date,thr,y_true,y_true_high,proba_high,pred_high_0p5,train_pos_rate,target,high_q,class_weight
2025-04-20,0.03965585450459886,0.0194002785184961,0,0.02906688252143333,0,0.15,target_parkvol_next7d,0.85,None
2025-04-21,0.0394347883468389,0.0186524824417858,0,0.030289665230398184,0,0.16393442622950818,target_parkvol_next7d,0.85,None
2025-04-22,0.03929081667867593,0.0138216323692217,0,0.031029922165316443,0,0.16129032258064516,target_parkvol_next7d,0.85,None
2025-04-23,0.03914684501051295,0.01350245197201,0,0.014515508781491639,0,0.15873015873015872,target_parkvol_next7d,0.85,None
2025-04-24,0.039002873342349975,0.0142410291200006,0,0.05101896117677182,0,0.15625,target_parkvol_next7d,0.85,None
2025-04-25,0.038858901674187,0.0129913979839766,0,0.21406857056951573,0,0.15384615384615385,target_parkvol_next7d,0.85,None
2025-04-26,0.03871493000602403,0.0128101027337387,0,0.2862804548833165,0,0.15151515151515152,target_parkvol_next7d,0.85,None
2025-04-27,0.038570958337861054,0.0131652784486286,0,0.24048999929601506,0,0.14925373134328357,target_parkvol_next7d,0.85,None
2025-04-28,0.038456248226218556,0.012118828925203,0,0.16728256361665803,0,0.16176470588235295,target_parkvol_next7d,0.85,None
2025-04-29,0.03840006122761702,0.0137240286852543,0,0.06259318329254773,0,0.15942028985507245,target_parkvol_next7d,0.85,None
2025-04-30,0.03834387422901549,0.0133829996949537,0,0.07253327091037233,0,0.15714285714285714,target_parkvol_next7d,0.85,None
2025-05-01,0.03828768723041395,0.0164632813398092,0,0.06775411474921962,0,0.15492957746478872,target_parkvol_next7d,0.85,None
2025-05-02,0.03823150023181242,0.0167315058061455,0,0.07388197827930057,0,0.1527777777777778,target_parkvol_next7d,0.85,None
2025-05-03,0.038175313233210884,0.0174803418120504,0,0.27811699496740644,0,0.1506849315068493,target_parkvol_next7d,0.85,None
2025-05-04,0.03811912623460935,0.0168913688887799,0,0.07982045057138415,0,0.14864864864864866,target_parkvol_next7d,0.85,None
2025-05-05,0.03805017363994038,0.0195761628894142,0,0.0791286494542527,0,0.16,target_parkvol_next7d,0.85,None
2025-05-06,0.0379748382472377,0.0193112235430085,0,0.25486083234451595,0,0.15789473684210525,target_parkvol_next7d,0.85,None
2025-05-07,0.03789950285453502,0.019066549572014,0,0.16061967095431548,0,0.15584415584415584,target_parkvol_next7d,0.85,None
2025-05-08,0.03782416746183234,0.01536395817906,0,0.3356350244871165,0,0.15384615384615385,target_parkvol_next7d,0.85,None
2025-05-09,0.037748832069129656,0.0149220760332206,0,0.06366679489406069,0,0.1518987341772152,target_parkvol_next7d,0.85,None
